name,borough_name,website,borough_code,address1,address2,address3,os_addressbase_uprn,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Greenwich Printmakers Gallery,Greenwich,http://www.greenwich-printmakers.org.uk/#,E09000011,1a Greenwich Market,NA,NA,100023537574,Greenwich West,E05000222,538338.0001221001,177703.00012210011,-0.007576419179712834,51.48085704947805,11/27/2022
The Invisible Line,Hackney,http://www.whitechapelgallery.org/first-thursdays/galleries/invisible-line-gallery/,E09000012,"87 Dalston Lane,",NA,NA,100023545364,Dalston,E05009370,533989.0001221001,184985.00012210011,-0.0674058630177291,51.5473502235191,11/27/2022
Fishbar,Hackney,http://fishbar.ph/#,E09000012,176 Dalston Lane,NA,NA,100023545393,Hackney Central,E05009372,534259.0001221001,185030.00012210011,-0.06349672607488344,51.54769046527718,11/27/2022
Rowing,Hackney,http://www.rowingprojects.com/#,E09000012,2 Leswin Place,NA,NA,100023546708,Stoke Newington,E05009385,533732.0001221001,186110.00012210011,-0.07068262263962571,51.55752194011246,11/27/2022
The Stone Space,Waltham Forest,http://www.thestonespace.com/#,E09000031,6 Church Lane,NA,NA,100023583897,Leytonstone,E05000605,539446.0001221001,187396.00012210011,0.012208448950943198,51.56769524439457,11/27/2022
ContiniArtUK,City of Westminster,http://www.continiartuk.com/#,E09000033,105 New Bond Street,NA,NA,100023608426,West End,E05000649,528740.0001221001,181022.00012210011,-0.1445203293581419,51.5129540180718,11/27/2022
Max Wigram Gallery,City of Westminster,http://www.maxwigram.com/#,E09000033,106 New Bond Street,NA,NA,100023608426,West End,E05000649,528740.0001221001,181022.00012210011,-0.1445203293581419,51.5129540180718,11/27/2022
Timothy Taylor Gallery,City of Westminster,http://www.timothytaylorgallery.com/#,E09000033,15 Carlos Place,NA,NA,100023616387,West End,E05000649,528487.0001221001,180697.00012210011,-0.14828313714108743,51.5100905910562,11/27/2022
Andor Gallery,Hackney,http://www.creativeandorcultural.com/#,E09000012,237 Hackney Road,NA,NA,100023649875,Haggerston,E05009375,533958.0001221001,183144.00012210011,-0.06855347132660816,51.53081190818558,11/27/2022
EXHIBIT at Golden Lane Estate,City and County of the City of London,http://www.exhibit-goldenlane.com/#,E09000001,20 Goswell Road,NA,NA,200000072012,Cripplegate,E05009302,532096.0001221001,182107.00012210011,-0.09577322767034234,51.5219306514311,11/27/2022
