name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,ward,latitude,longitude,contact_name,additional_contact_name,easting,northing,runtime
Abbey Community Hall,Cowbridge Lane,Barking And Dagenham,NA,Barking and Dagenham,,100055111,E09000002,Abbey,E05000026,E05000026,51.53962087384105,0.07343362384742622,,,543777.0001221001,184393.00012210011,11/20/2022
Chadwell Heath Community Centre,255 High Road,Barking And Dagenham,NA,Barking and Dagenham,,100101901,E09000002,Whalebone,E05000042,E05000042,51.57212135193013,0.14463819755487395,,,548608.0001221001,188149.00012210011,11/20/2022
Hedgecock Centre,28 Stephen Jewers Gardens,Barking And Dagenham,NA,Barking and Dagenham,www.hedgecockcentre.org.uk,10090634105,E09000002,Longbridge,E05000035,E05000035,51.53854265682632,0.10180271434224666,,,545747.4301147982,184329.26007079333,11/20/2022
Fanshawe Community Centre,73,Barnmead Road,Barking And Dagenham,Barking and Dagenham,http://fanshawe-community-c.wixsite.com/fanshawe,100011652,E09000002,Parsloes,E05000037,E05000037,51.54684593579238,0.1462620093285623,,Lin,548803.0001221001,185342.00012210011,11/20/2022
Wantz Hall (Eastbrook Community Centre),Rainham Road North,Barking And Dagenham,NA,Barking and Dagenham,https://www.lbbd.gov.uk/services/wantz-hall,100024972,E09000002,Heath,E05000034,E05000034,51.55206881836761,0.16158380729498636,,,549848.0001221001,185954.00012210011,11/20/2022
Heath Park Community Centre,Rusholme Avenue,Barking And Dagenham,NA,Barking and Dagenham,,100026303,E09000002,Heath,E05000034,E05000034,51.55505106925401,0.15396314775232872,,,549310.0001221001,186270.00012210011,11/20/2022
Whittington Court TRA Hall,Retcar Place,Camden,NA,Camden,,5158161,E09000007,Highgate,E05000137,E05000137,51.56520802813498,-0.14008466479709109,,,528900.0001221001,186840.00012210011,11/20/2022
Marks Gate Community Hall,Rose Lane,Barking And Dagenham,NA,Barking and Dagenham,https://www.lbbd.gov.uk/services/marks-gate-hall,100027163,E09000002,Chadwell Heath,E05000029,E05000029,51.584804665107086,0.13762720524215077,,,548081.0001221001,189545.00012210011,11/20/2022
Thames View Community Centre,Bastable Avenue,Barking And Dagenham,NA,Barking and Dagenham,www.thameswardcommuniytassociation.com,100034772,E09000002,Thames,E05000039,E05000039,51.527635262730016,0.10406245972411275,,,545939.0001221001,183121.00012210011,11/20/2022
Curzon Community Centre,Bastable Avenue,Barking And Dagenham,NA,Barking and Dagenham,http://thecurzonclub.99on.com/?i=1,100034780,E09000002,Thames,E05000039,E05000039,51.527614306041215,0.1032251992599607,,,545881.0001221001,183117.00012210011,11/20/2022
Hatfield Hall,Hatfield Road,Barking And Dagenham,NA,Barking and Dagenham,,100041898,E09000002,Goresbrook,E05000033,E05000033,51.53776733238658,0.1390852056799535,,,548335.0001221001,184318.00012210011,11/20/2022
Scrattons Community Centre,Morrison Road,Barking And Dagenham,NA,Barking and Dagenham,https://www.lbbd.gov.uk/services/scrattons-community-hall,100045711,E09000002,Thames,E05000039,E05000039,51.528671702136435,0.13430412348372028,,,548033.0001221001,183297.00012210011,11/20/2022
Gascoigne Youth and Community Centre,124-128 St Anns,Gascoigne Road,Barking And Dagenham,Barking and Dagenham,,100058813,E09000002,Gascoigne,E05000032,E05000032,51.53225242147771,0.08372646026786891,,,544514.0001221001,183594.00012210011,11/20/2022
Village Hall,Vicarage Road,Barking And Dagenham,NA,Barking and Dagenham,,100061520,E09000002,Village,E05000041,E05000041,51.538718485727955,0.15688387475107696,,,549566.0001221001,184460.00012210011,11/20/2022
Teresa Greene Hall,25-29 Leys Avenue,Barking And Dagenham,NA,Barking and Dagenham,,100069289,E09000002,Village,E05000041,E05000041,51.53433957290917,0.16998750759347533,,,550489.0001221001,184000.00012210011,11/20/2022
North Road Community Centre,230 Burnt Oak Broadway,Barnet,NA,Barnet,,200018286,E09000003,Burnt Oak,E05000044,E05000044,51.60354870006945,-0.2697683563591935,,,519812.1101073995,190882.62011719495,11/20/2022
Tarling Road Community Centre,20 Fallows Close,Barnet,NA,Barnet,,200040351,E09000003,East Finchley,E05000049,E05000049,51.59693513391682,-0.17332113261667487,,,526508.6000976935,190309.75012210011,11/20/2022
Barnet Multi Cultural Community Centre,Algernon Road,Barnet,NA,Barnet,http://www.barnetmcc.moonfruit.com/venue-hire/4527035932,200166018,E09000003,West Hendon,E05000062,E05000062,51.57856181010573,-0.23480824760948465,,,522299.8900756985,188162.13012699783,11/20/2022
New Barnet Community,50 Victoria Road,Barnet,NA,Barnet,http://www.newbarnet.org.uk/,200120427,E09000003,East Barnet,E05000048,E05000048,51.65006513329757,-0.16739493388963347,,,526770.8101195991,196227.7100829929,11/20/2022
Outreach Centre (Youth & Family Centre),West Street, Erith,NA,Bexley,,10011847777,E09000004,Erith,E05000075,E05011225,51.48474700606708,0.1753242267733142,Joanne Richards,,551023.0001221001,178497.00012210011,11/20/2022
Sidcup Youth Centre,Burnt Oak Lane, Sidcup, Kent,Bexley,,10090792526,E09000004,Sidcup,E05000083,E05011220,51.43758960388469,0.10637030063384503,,,546387.1701049954,173113.74011229724,11/20/2022
Cray Youth & Community Centre,150 Rectory Lane, Sidcup, Kent,Bexley,,100022918863,E09000004,Cray Meadows,E05000072,E05011230,51.41987269692708,0.12134436154808555,,,547484.7700805962,171173.91009519994,11/20/2022
Bacton Tower TA Room,Haverstock Road,Camden,NA,Camden,,5123140,E09000007,Gospel Oak,E05000134,E05000134,51.55158347165081,-0.1526429108807379,,,528068.0001221001,185303.00012210011,11/20/2022
North Cray Neighborhood Centre,1 Davis Way, Sidcup, Kent,Bexley,https://www.youthactiondiversitytrust.co.uk/,10011863608,E09000004,Cray Meadows,E05000072,E05011229,51.41722734187901,0.13037346296674335,Gary Redding,,548121.0001221001,170898.00012210011,11/20/2022
Hurst Community Centre,Hurst Road, Bexley, Kent,Bexley,,10023304339,E09000004,St. Mary's,E05000081,E05011221,51.438261755292444,0.1260564925753059,,,547753.0001221001,173228.00012210011,11/20/2022
Crayford Community Centre,175 Townhall Square,Bexley,NA,Bexley,https://arena.yourlondonlibrary.net/web/bexley/ccc,10090792770,E09000004,Crayford,E05000071,E05011222,51.44939192497877,0.1817162744526239,,,551583.870117195,174579.25012210011,11/20/2022
Slade Green and Howbury Community Centre,Chrome Road, Slade Green, Kent,Bexley,,10090794390,E09000004,North End,E05000079,E05011231,51.472603770227245,0.19259622506254778,,,552262.4301147982,177182.63012699783,11/20/2022
St Michaels Community Centre,Wrotham Road, Welling, Kent,Bexley,,100022920229,E09000004,St. Michael's,E05000082,E05011223,51.46884056756418,0.12311472564116807,Edna Castle,,547450.0001221001,176622.00012210011,11/20/2022
Parkside Community Centre,Parkside Hall, 1 Parkside Cross, Bexleyheath,Bexley,,100022923156,E09000004,Barnehurst,E05000064,E05011217,51.46363011200037,0.1738156439486159,Gary Redding,,550988.0001221001,176146.00012210011,11/20/2022
Falconwood Community and Childrens Centre,32-38 Falconwood Parade, Welling, Kent,Bexley,,100023523666,E09000004,Falconwood and Welling,E05000076,E05011226,51.456688486439354,0.0946934481584845,,,545515.0001221001,175214.00012210011,11/20/2022
Belvedere Community Centre,Mitchell Close, Belvedere, Kent,Bexley,http://belvederecommunitycentre.org.uk/,200002784025,E09000004,Belvedere,E05000065,E05011218,51.49091661844784,0.1602596782319979,Clare Lloyd,,549957.0001221001,179152.00012210011,11/20/2022
Pakistan Community Centre (Pakistan Welfare Association),Marley Walk, Station Parade, London,Brent,,202043209,E09000005,Dudden Hill,E05000089,E05000089,51.549587164634524,-0.22310457897307065,Mohammad Sajid,,523189.0001221001,184960.00012210011,11/20/2022
Preston and Mall,May Lane, 237 The Mall, Kenton,Brent,,202071290,E09000005,Barnhill,E05000086,E05000086,51.57710352671898,-0.2863630927765121,May White,,518732.0001221001,187915.00012210011,11/20/2022
Kings Hall,155 Harlesden Road, Willesden, London,Brent,http://khcc.btck.co.uk/,202090623,E09000005,Willesden Green,E05000105,E05000105,51.544157595707695,-0.2327923426601969,Kalpesh,,522532.0001221001,184340.00012210011,11/20/2022
The Granville Plus Centre,The Granville Plus Centre, 80 Granville Road, Kilburn,Brent,http://granvillecommunitykitchen.wordpress.com or http://www.theotherwiseclub.org.uk/,202093923,E09000005,Kilburn,E05000094,E05000094,51.53225491513496,-0.19587749073737898,Dee,Leslie Barson,525124.0001221001,183079.00012210011,11/20/2022
Dudden Hill Community Centre,19 Dudden Hill Lane,Brent,NA,Brent,https://www.brent.gov.uk/services-for-residents/sport-leisure-and-parks/sports/sport-activity-finder/zumba-dudden-hill-community-centre/,202103783,E09000005,Willesden Green,E05000105,E05000105,51.54888958692692,-0.23767211353307136,Naginbhai Mistry,,522181.0001221001,184858.00012210011,11/20/2022
The Tabot Centre,151 Granville Road, Kilburn, London,Brent,http://tabot.co.uk/,202195084,E09000005,Kilburn,E05000094,E05000094,51.53247161204581,-0.19651781392868084,Angela Moore,,525079.0001221001,183102.00012210011,11/20/2022
Crofton Halls,Crofton Halls, Crofton Road, Orpington,Bromley,http://www.mytimeactive.co.uk/leisure/crofton-halls,10003626864,E09000006,Farnborough and Crofton,E05000118,E05000118,51.37278867927399,0.08887779700968977,,,545377.0001221001,165874.00012210011,11/20/2022
Windsor Drive Community Centre (Chelsfield),Windsor Drive, Orpington,NA,Bromley,,100022899499,E09000006,Chelsfield and Pratts Bottom,E05000110,E05000110,51.3559256647051,0.10590848001900091,,,546616.0001221001,164033.00012210011,11/20/2022
Cotmandene Community Resource Centre,64 Cotmandene Crescent, St. Paul's Cray, Orpington,Bromley,http://www.bromley.gov.uk/CotmandeneCommunityCentre,100022898298,E09000006,Cray Valley West,E05000115,E05000115,51.403448305345954,0.10650957837652701,Anita Thundercliffe,,546506.0001221001,169318.00012210011,11/20/2022
St Pancras Community Centre,67 Plender Street,Camden,NA,Camden,,5184843,E09000007,St. Pancras and Somers Town,E05000143,E05000143,51.53599916800558,-0.13568042044739886,,,529288.0001221001,183600.00012210011,11/20/2022
Queens Crescent Community Association,170 Weedington Road,Camden,NA,Camden,,5039917,E09000007,Gospel Oak,E05000134,E05000134,51.550336748800895,-0.14943324925405735,,,528294.0001221001,185170.00012210011,11/20/2022
Coopers Lane Community Centre,2 Hampden Close,Camden,NA,Camden,,5060593,E09000007,St. Pancras and Somers Town,E05000143,E05000143,51.53248317194003,-0.1283689878290945,,,529805.0001221001,183222.00012210011,11/20/2022
1A Arts Community Centre ,1 Rosebery Avenue,Camden,NA,Camden,,5079562,E09000007,Holborn and Covent Garden,E05000138,E05000138,51.52193674439948,-0.11060771553920931,,,531067.0001221001,182081.00012210011,11/20/2022
Somali Community Centre,1-2 Lismore Circus,Camden,NA,Camden,,5082283,E09000007,Gospel Oak,E05000134,E05000134,51.552718516945596,-0.15333266077265942,,,528017.0001221001,185428.00012210011,11/20/2022
South Hampstead and Kilburn Partnership (SHAK),52 Boundary Road,Camden,NA,Camden,,5109397,E09000007,Kilburn,E05000140,E05000140,51.53946367955328,-0.17990119829949675,,,526212.0001221001,183908.00012210011,11/20/2022
Peckwater TA Hall,Peckwater Street,Camden,NA,Camden,,5110209,E09000007,Kentish Town,E05000139,E05000139,51.54943533252299,-0.13453966535860631,,,529329.0001221001,185096.00012210011,11/20/2022
Blashford TA Room,Adelaide Road,Camden,NA,Camden,,5126516,E09000007,Belsize,E05000128,E05000128,51.5428905369786,-0.1603220229532781,,,527560.0001221001,184323.00012210011,11/20/2022
Camden Society,43 Carol Street,Camden,NA,Camden,,5129344,E09000007,Camden Town with Primrose Hill,E05000130,E05000130,51.53839249613717,-0.13914478814080553,,,529041.0001221001,183860.00012210011,11/20/2022
Bedefield Community Room,Cromer Street,Camden,NA,Camden,,5130668,E09000007,King's Cross,E05000141,E05000141,51.5278296342869,-0.1196924967367,,,530420.0001221001,182720.00012210011,11/20/2022
Ethiopian Community in Britain,Lithos Road,Camden,NA,Camden,,5140115,E09000007,West Hampstead,E05000145,E05000145,51.548615752076266,-0.18317099819447855,,,525960.0001221001,184920.00012210011,11/20/2022
Hilgrove Estate TA Room,7 Hilgrove Road,Camden,NA,Camden,,5140532,E09000007,Swiss Cottage,E05000144,E05000144,51.541766820101934,-0.17590071441120206,,,526483.0001221001,184171.00012210011,11/20/2022
Cockpit Arts / Action Space,Cockpit Yard,Camden,NA,Camden,,5144567,E09000007,Holborn and Covent Garden,E05000138,E05000138,51.52092616177525,-0.11487353137732724,,,530774.0001221001,181961.00012210011,11/20/2022
Grafton Way TRA Room,30-40 Grafton Way,Camden,NA,Camden,,5153376,E09000007,Bloomsbury,E05000129,E05000129,51.5236746248688,-0.13490078963528476,,,529377.0001221001,182231.00012210011,11/20/2022
Camden People's Theatre,58-60 Hampstead Road,Camden,NA,Camden,,5158137,E09000007,Regent's Park,E05000142,E05000142,51.52589092726441,-0.1368431275767767,,,529236.0001221001,182474.00012210011,11/20/2022
Fellows Road Tenant Association,Fellows Road,Camden,NA,Camden,,5158252,E09000007,Belsize,E05000128,E05000128,51.54298133603345,-0.167847271178651,,,527038.0001221001,184320.00012210011,11/20/2022
