name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,ward,latitude,longitude,contact_name,additional_contact_name,easting,northing,runtime
Moulton Avenue Community Centre,14-16 Moulton Avenue,Hounslow,NA,Hounslow,,10090800372,E09000018,Heston Central,E05000355,E05000355,51.47541029928068,-0.3805889686835318,Pauline El-Grew,,512454.1000976935,176458.50012210011,11/20/2022
Dukes Meadow Community Centre,Alexandra Gardens,Hounslow,NA,Hounslow,,10090800597,E09000018,Chiswick Homefields,E05000348,E05000348,51.48017728918739,-0.25544929338170674,,,521130.76007079333,177188.17010499537,11/20/2022
Alf Chandler Centre,Benson Close,Hounslow,NA,Hounslow,,10090800598,E09000018,Hounslow Heath,E05000359,E05000359,51.46512390630405,-0.3712877811120085,,,513125.3900756985,175329.05010989308,11/20/2022
Clayponds Community Centre,Clayponds Gardens,Hounslow,NA,Hounslow,,10001273919,E09000018,Brentford,E05000347,E05000347,51.49475816443466,-0.30291021424455583,,,517798.0001221001,178732.00012210011,11/20/2022
Brickfield Community Centre,Brickfield Close,Hounslow,NA,Hounslow,,10091692313,E09000018,Syon,E05000364,E05000364,51.48194876535897,-0.3131623304272585,,,517119.2501221001,177291.24011229724,11/20/2022
Gunnersbury Close,Chiswick High Road,Hounslow,NA,Hounslow,,10091693280,E09000018,Turnham Green,E05000365,E05000365,51.49171075955329,-0.27160219332765767,Pauline El-Grew,,519979.0001221001,178444.00012210011,11/20/2022
Heston Farm,15 Biscoe Close ,Hounslow,NA,Hounslow,,10093256965,E09000018,Heston East,E05000356,E05000356,51.48780158152859,-0.3672484401090788,,,513349.7000731975,177856.90008549392,11/20/2022
ROWE Community Centre,Unwin Road,Hounslow,NA,Hounslow,,10093259960,E09000018,Isleworth,E05000362,E05000362,51.469657229372196,-0.33761284153948806,Pauline El-Grew,,515452.76007079333,175885.68011479825,11/20/2022
Brabazon Community Centre,106 Brabazon Road,Hounslow,NA,Hounslow,,100021541439,E09000018,Heston West,E05000357,E05000357,51.480990856505116,-0.3943350614591267,Pauline El-Grew,,511486.0001221001,177058.00012210011,11/20/2022
Hogarth Meeting room ,Devonshire Street,Hounslow,NA,Hounslow,,100023490874,E09000018,Turnham Green,E05000365,E05000365,51.487555797616494,-0.25538890968089095,,,521115.4000854939,178008.70007319748,11/20/2022
Bedfont Lane Community Centre,9 Proctors Close,Hounslow,NA,Hounslow,,100023517978,E09000018,Feltham West,E05000352,E05000352,51.44820387277203,-0.4126773486449318,,,510291.54010009766,173384.53009029478,11/20/2022
The Bridgelink Centre,373 Summerwood Road,Hounslow,NA,Hounslow,,200003977680,E09000018,Isleworth,E05000362,E05000362,51.45824792984521,-0.33017808538969895,,,515998.0001221001,174628.80010989308,11/20/2022
The Hub Community Centre,103 Salisbury Road,Hounslow,NA,Hounslow,https://fsd.hounslow.gov.uk/kb5/hounslow/fsd/service.page?id=O3TyhTLjDLY,100023405001,E09000018,Cranford,E05000350,E05000350,51.469619843169866,-0.39480633476400695,,,511481.0001221001,175792.90008549392,11/20/2022
Convent Way Community Centre,Convent Way,Hounslow,NA,Hounslow,https://cig.hounslow.gov.uk/kb5/hounslow/community/service.page?id=tDACEAJwjPI#,10090800594,E09000018,Heston West,E05000357,E05000357,51.49491048869105,-0.3931370838001572,Pauline,,511535.2000731975,178607.6000976935,11/20/2022
Bentham Community Centre,New Bentham Court, Ecclesbourne Road, London,Islington,,5300029420,E09000019,St. Peter's,E05000380,E05000380,51.54039802228347,-0.09211781765672812,Michelle Graham,,532296.0001221001,184167.00012210011,11/20/2022
St Johns' Community Centre,Elthorne Estate,Holland Walk,Islington,Islington,,10001298762,E09000019,Hillrise,E05000374,E05000374,51.56683663727638,-0.12713147861487195,Ms Celia Facey,,529793.0001221001,187044.00012210011,11/20/2022
Aubert Court Community Centre,70 Avenell Road,Islington,NA,Islington,,10010440652,E09000019,Highbury West,E05000373,E05000373,51.556096401415644,-0.10016062751240595,,,531693.0001221001,185898.00012210011,11/20/2022
Earlstoke Estate Community Room,Manningford Close,Islington,NA,Islington,,10010441490,E09000019,Clerkenwell,E05000370,E05000370,51.528289560388615,-0.10023719865055172,,,531768.0001221001,182806.00012210011,11/20/2022
Walter Sickert Community Centre,Canonbury Crescent,Islington,NA,Islington,https://www.canonbury-snt-panel.org/walter-sickert-community-centre,10012787909,E09000019,Canonbury,E05000369,E05000369,51.54215674968744,-0.09187116965787809,,,532308.0001221001,184363.00012210011,11/20/2022
Providence Place Community Centre,1a Providence Court,Providence Place,Islington,Islington,,10093108754,E09000019,St. Mary's,E05000379,E05000379,51.536586179206594,-0.10218468331942566,Ms Liz Anderson,,531609.0001221001,183725.00012210011,11/20/2022
Brickworks Community Centre,42 Crouch Hill,Islington,NA,Islington,,10093111210,E09000019,Tollington,E05000381,E05000381,51.5714534157737,-0.11665147412168157,,,530506.0001221001,187576.00012210011,11/20/2022
Hind House Community Rooms,74 Hornsey Road,Islington,NA,Islington,,10093620607,E09000019,Highbury West,E05000373,E05000373,51.556469156632716,-0.10875835765554288,,,531096.0001221001,185924.00012210011,11/20/2022
Goodinge Community Centre,2 Goodinge Road,Islington,NA,Islington,,10093621811,E09000019,Holloway,E05000375,E05000375,51.54753428428254,-0.12417395088726034,,,530053.0001221001,184903.00012210011,11/20/2022
Halfmoon Crescent Co-op,183 Wynford Road,Islington,NA,Islington,,5300099584,E09000019,Barnsbury,E05000366,E05000366,51.53368392180804,-0.11182285781357901,,,530949.0001221001,183385.00012210011,11/20/2022
York Way Community Centre,Tiber Gardens,Islington,NA,Islington,,5300092135,E09000019,Caledonian,E05000368,E05000368,51.53538313114312,-0.11906391799930746,,,530442.0001221001,183561.00012210011,11/20/2022
Westbourne Community Centre,43 Roman Way,Islington,NA,Islington,http://directory.islington.gov.uk/kb5/islington/directory/service.page?id=G3Jy2lOy1-8,5300079082,E09000019,Caledonian,E05000368,E05000368,51.54630407719981,-0.11363709396760334,,,530787.0001221001,184785.00012210011,11/20/2022
Nailour Hall Community Centre,52 Blundell Street,Islington,NA,Islington,http://directory.islington.gov.uk/kb5/islington/directory/service.page?id=lMrJHwKnvao,5300010607,E09000019,Caledonian,E05000368,E05000368,51.54424882947728,-0.11894348313512107,,,530425.0001221001,184547.00012210011,11/20/2022
Almorah Community Centre,58 Almorah Road,Islington,NA,Islington,http://www.almorahcommunity.org.uk,5300001394,E09000019,Canonbury,E05000369,E05000369,51.54021245121901,-0.08514510692504572,Sandy McClure,,532780.0001221001,184159.00012210011,11/20/2022
Hilldrop Community Centre,Community Lane,Hilldrop Road,Islington,Islington,https://www.hilldrop.org.uk/,5300022801,E09000019,St. George's,E05000378,E05000378,51.55119103348493,-0.12845224855602722,Elaine Maffrett,,529746.0001221001,185302.00012210011,11/20/2022
Hargrave Hall Community Centre,42 Hargrave Road,Islington,NA,Islington,http://www.hargravehall.co.uk/,5300040886,E09000019,Junction,E05000376,E05000376,51.56319855626431,-0.13191291297133156,,,529472.0001221001,186631.00012210011,11/20/2022
Hornsey Lane Community Centre,Hornsey Lane Estate,Hazellville Road,Islington,Islington,http://hleca.org.uk/,5300042147,E09000019,Hillrise,E05000374,E05000374,51.57226088720968,-0.1305888001570619,Ms Irene Winter,,529538.0001221001,187641.00012210011,11/20/2022
Loraine Community Centre,325 Holloway Road,Islington,NA,Islington,,5300048071,E09000019,Holloway,E05000375,E05000375,51.55425927284566,-0.11394272141618897,,,530743.0001221001,185669.00012210011,11/20/2022
Margery Street Community Centre,Margery Street Estate,Lloyd Baker Street,Islington,Islington,,5300060076,E09000019,Clerkenwell,E05000370,E05000370,51.52626470578957,-0.11129361043953813,Pete Stacey,,531007.0001221001,182561.00012210011,11/20/2022
New Orleans Community Centre,New Orleans Walk,Islington,NA,Islington,,5300066093,E09000019,Hillrise,E05000374,E05000374,51.5723151600737,-0.12497230860993397,Tracey Willoughby,,529927.0001221001,187657.00012210011,11/20/2022
Weston Rise Community Centre,187 Pentonville Road,Islington,NA,Islington,,5300073284,E09000019,Clerkenwell,E05000370,E05000370,51.53060227700592,-0.11369513316344003,Innes Marino,,530828.0001221001,183039.00012210011,11/20/2022
Popham and Cumming Community Centre,14 Popham Street,Islington,NA,Islington,,5300075537,E09000019,St. Peter's,E05000380,E05000380,51.537190003531954,-0.09504976715541416,,,532102.0001221001,183805.00012210011,11/20/2022
Mildmay Community Centre,Woodville Road,Islington,NA,Islington,http://mildmaycp.wordpress.com,5300098973,E09000019,Mildmay,E05000377,E05000377,51.550358533742596,-0.08082408742057591,,,533050.0001221001,185295.00012210011,11/20/2022
Stephen's Ink Community Centre,104 Gillespie Road,Islington,NA,Islington,,10008978440,E09000019,Highbury West,E05000373,E05000373,51.558379316429175,-0.10285011721096993,,,531500.0001221001,186147.00012210011,11/20/2022
Jean Stokes Community Centre,Carnoustie Drive,Islington,NA,Islington,https://bemerton.wordpress.com/jean-stokes-community-centre/,10010440359,E09000019,Caledonian,E05000368,E05000368,51.54014963014876,-0.11625690951321511,,,530623.0001221001,184096.00012210011,11/20/2022
Brunswick Estate Community Centre,Tompion Street,Islington,NA,Islington,,10010440550,E09000019,Clerkenwell,E05000370,E05000370,51.52616617232598,-0.1001814175221794,,,531778.0001221001,182570.00012210011,11/20/2022
Chestnuts Community Centre,1 Highbury Grange,Islington,NA,Islington,,10010441199,E09000019,Highbury East,E05000372,E05000372,51.55466532905689,-0.09620955585778955,,,531971.0001221001,185746.00012210011,11/20/2022
Williamson Street Community Centre,76 Parkhurst Road,Islington,NA,Islington,,10010441453,E09000019,Holloway,E05000375,E05000375,51.55606038608114,-0.11913421391160053,,,530378.0001221001,185860.00012210011,11/20/2022
Birchmore Hall Community Hall,Highbury Quadrant,Islington,NA,Islington,https://highburyquadrant.co.uk/birchmore-hall/,10010441763,E09000019,Highbury East,E05000372,E05000372,51.558466217894605,-0.09212632820563071,,,532243.0001221001,186176.00012210011,11/20/2022
Tompion Hall Community Centre,40 Percival Street,Islington,NA,Islington,,10023215945,E09000019,Bunhill,E05000367,E05000367,51.52549584236228,-0.10044000855638122,Michael Matthews,,531762.0001221001,182495.00012210011,11/20/2022
Andover Estate Community Centre,56 Corker Walk,Islington,NA,Islington,http://www.octopuscommunities.org.uk/our-projects/community-hubs/about-the-hubs/finsbury-park-community-hub-andover-community-centre/,5300024110,E09000019,Finsbury Park,E05000371,E05000371,51.562974687578674,-0.11174949694653326,,Vanessa Khan,530870.0001221001,186642.00012210011,11/20/2022
Wheatsheaf Hall,Wheatsheaf Lane,Lambeth,NA,Lambeth,wheatsheafhall.org.uk,100023573213,E09000022,Oval,E05000426,E05000426,51.48038102213688,-0.12371909988367277,,,530276.0001221001,177437.00012210011,11/20/2022
Notre Dame Community Hall,1 Worsopp Drive,Lambeth,NA,Lambeth,https://notredametra.my-free.website/about-us,100023677209,E09000022,Clapham Common,E05000418,E05000418,51.45881164378562,-0.13708586038411236,,,529409.0001221001,175015.00012210011,11/20/2022
Heath Road Community Hall,117 Heath Road,Lambeth,NA,Lambeth,https://www.facebook.com/heathbrook.hall.9,200000466063,E09000022,Clapham Town,E05000419,E05000419,51.468097919016444,-0.1453329487509806,,,528810.0001221001,176033.00012210011,11/20/2022
Jubilee Community Halls,Tulse Hill,Lambeth,NA,Lambeth,,200000484897,E09000022,Tulse Hill,E05000435,E05000435,51.44916730801405,-0.11439105962500273,,,531013.0001221001,173983.00012210011,11/20/2022
Chandler Hall,15 Lambeth Walk,Lambeth,NA,Lambeth,https://www.facebook.com/pages/Chandler-Community-Hall/700659773316783,200000489602,E09000022,Bishop's,E05000416,E05000416,51.494775686350344,-0.11114048048569346,,,531108.0001221001,179060.00012210011,11/20/2022
St Matthew's Tenants Hall,10 St Matthew'S Road,Lambeth,NA,Lambeth,https://twitter.com/stmatthewstra?lang=en,10008785856,E09000022,Tulse Hill,E05000435,E05000435,51.457088752943086,-0.11482757251220088,,,530960.0001221001,174863.00012210011,11/20/2022
Hawksworth Hall,Poynders Road,Lambeth,NA,Lambeth,https://sites.google.com/site/oaklandscommunityassociagbbo00/hawkesworth-hall,10090197025,E09000022,Clapham Common,E05000418,E05000418,51.45150323656224,-0.14013274941879988,,,529218.0001221001,174197.00012210011,11/20/2022
Myatts Field South Community Hall,Urlwin Walk,Lambeth,NA,Lambeth,,10090203232,E09000022,Vassall,E05000436,E05000436,51.47135331640525,-0.10642973642404648,,,531502.3201293945,176464.12011719495,11/20/2022
Vernon Hall,Vauxhall Street,Lambeth,NA,Lambeth,,10090203233,E09000022,Prince's,E05000427,E05000427,51.486577237078826,-0.11595010233079307,,,530797.6500854939,178139.8101195991,11/20/2022
Renton Close Community Centre,Brixton Hill,Lambeth,NA,Lambeth,https://rentonclose.org/hire-the-centre/,10090203264,E09000022,Brixton Hill,E05000417,E05000417,51.45118688151275,-0.12081162204854115,,,530561.1701049954,174196.09008789808,11/20/2022
Southwyck House Community Hall,Moorland Road,Lambeth,NA,Lambeth,https://southwyckhouse.wordpress.com/community-hall/,10090203265,E09000022,Coldharbour,E05000420,E05000420,51.46190817834878,-0.10552786622733226,,,531592.120117195,175415.54010009766,11/20/2022
Edmundsbury Community Hall,171 Ferndale Road,Lambeth,NA,Lambeth,https://edmundsbury.org.uk/edmundsbury-community-hall/,10090203277,E09000022,Ferndale,E05000421,E05000421,51.46156740391499,-0.11743482933919323,,,530766.0900878981,175356.32012939453,11/20/2022
Drew House Meeting Room,Leigham Avenue,Lambeth,NA,Lambeth,,10090203572,E09000022,Streatham Wells,E05000432,E05000432,51.433158044069465,-0.12332390127632768,,,530438.0001221001,172187.00012210011,11/20/2022
Holland Town Community Hall,11 Vassall Road,Lambeth,NA,Lambeth,https://www.facebook.com/Holland-Town-Residents-Association-282329735288935/,10091117047,E09000022,Vassall,E05000436,E05000436,51.47655651697633,-0.10982488766689938,,,531251.620117195,177036.57012939453,11/20/2022
Taylor Road Day Centre,Taylor Road, Merton,NA,Merton,http://www.positive-network.co.uk/,48068539,E09000024,Colliers Wood,E05000457,E05000457,51.4160855092399,-0.1669141068664881,Grace Salmon,,527456.0001221001,170212.00012210011,11/20/2022
Pollards Hill - (New Horizons),South Lodge Avenue,Merton,NA,Merton,http://www.commonside.net/,48065105,E09000024,Pollards Hill,E05000467,E05000467,51.39944911937163,-0.12947769330437514,Steve Hill,,530106.0001221001,168428.00012210011,11/20/2022
North East Mitcham Community Centre,49 Woodland Way,Merton,NA,Merton,http://www.nemca.org.uk/,48075257,E09000024,Graveney,E05000461,E05000461,51.41677268751773,-0.15225867131763085,Cllr L Kirby,,528473.0001221001,170314.00012210011,11/20/2022
Bird-In-Bush Centre,616 Old Kent Road,Southwark,NA,Southwark,,10091837834,E09000028,Livesey,E05000543,E05011109,51.48242835432304,-0.0632382206258594,,,534469.0001221001,177774.00012210011,11/20/2022
South Mitcham Community Centre,Haslemere Avenue,Merton,NA,Merton,http://www.southmitchamcommunity.org.uk/,48081917,E09000024,Cricket Green,E05000458,E05000458,51.40650113426595,-0.1803690457220967,Brenda Josiah,Teddy Tate,526547.0001221001,169123.00012210011,11/20/2022
Colliers Wood Community Centre,66-72 High Street Collier'S Wood,Merton,NA,Merton,https://directories.merton.gov.uk/kb5/merton/directory/service.page?id=ExWbAG6gaDE&familychannel=0,48082185,E09000024,Colliers Wood,E05000457,E05000457,51.42000772891283,-0.1746517632453111,Jacqui Lewis,,526907.1701049954,170634.68011479825,11/20/2022
Newminster Road,33 Newminster Road,Merton,NA,Merton,,48100193,E09000024,Ravensbury,E05000468,E05000468,51.387913396348964,-0.18340651592561535,Andrew Theobold,,526387.0001221001,167051.00012210011,11/20/2022
South Wimbledon Community Centre,78 Victory Road,Merton,NA,Merton,http://www.southwimbledoncommunity.com/,48130927,E09000024,Abbey,E05000455,E05000455,51.41744550636326,-0.18653070878234587,Jeff Gunn,,526088.4000854939,170329.28009029478,11/20/2022
Paul Street Community Centre,48 West Ham Lane, Newham,NA,Newham,,10008994317,E09000025,West Ham,E05000494,E05000494,51.53763233510844,0.006786152381872345,,,539162.0001221001,184043.00012210011,11/20/2022
Vicarage Lane Community Centre,Govier Close, Newham,NA,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Vicarage-Lane-Community-Centre.aspx,10009002033,E09000025,West Ham,E05000494,E05000494,51.53862963420729,0.012094117175787551,,,539527.0001221001,184164.00012210011,11/20/2022
Queens Road West Community Centre,63 Queens Road West, Newham,NA,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Queens-Road-West-Community-Centre.aspx,10009002930,E09000025,Plaistow North,E05000489,E05000489,51.532364134324276,0.027059917007928737,,,540584.0001221001,183496.00012210011,11/20/2022
Trinity Community Centre,Bothwell Close,Newham,NA,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Trinity-Community-Centre.aspx,46099802,E09000025,Canning Town South,E05000478,E05000478,51.51582848947275,0.016926993835963577,,,539932.0001221001,181638.00012210011,11/20/2022
Jack Cornwell Community Centre,Jack Cornwell Street,Newham,NA,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Jack-Cornwall-Community-Centre.aspx,10008995229,E09000025,Little Ilford,E05000487,E05000487,51.55196992533421,0.06370913617847271,,,543064.0001221001,185747.00012210011,11/20/2022
Jeyes Community Centre,1 James Close, Newham,NA,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Jeyes-Community-Centre.aspx,10009001158,E09000025,Plaistow North,E05000489,E05000489,51.53023532615869,0.02377861880166068,,,540363.0001221001,183253.00012210011,11/20/2022
Chandos Community Centre,105 Barking Road,Newham,NA,Newham,https://www.newham.gov.uk/Pages/ServiceChild/Chandos-Community-Centre.aspx,10009001471,E09000025,Canning Town North,E05000477,E05000477,51.51704860878924,0.012915778260121628,,,539650.0001221001,181766.00012210011,11/20/2022
Tiptree Community Hall | Clayhall,Tiptree Crescent,Redbridge,NA,Redbridge,,10023771023,E09000026,Fullwell,E05000504,E05011243,51.5901118712134,0.0705382302013211,,,543417.2600707933,190001.3300780952,11/20/2022
Etteridge Hall,Ray Lodge Road,Redbridge,NA,Redbridge,,10090505113,E09000026,Bridge,E05000497,E05011236,51.60734564576261,0.04421255161169568,,,541540.370117195,191866.2200927958,11/20/2022
The Parkside Community Centre,176 Goodmayes Lane,Redbridge,NA,Redbridge,,100023050425,E09000026,Mayfield,E05000508,E05011248,51.552068681194086,0.10872448965620658,,,546184.0001221001,185847.00012210011,11/20/2022
Hainault Forest Community Association,100 Manford Way,Redbridge,NA,Redbridge,http://www.hfca-uk.com/,100023581966,E09000026,Hainault,E05000506,E05011245,51.607254832377656,0.10604818996526275,,,545821.7000731975,191977.70007319748,11/20/2022
Bullen Hall,Bennet Close,Richmond Upon Thames,NA,Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/bullen_hall_venue_hire,10070711005,E09000027,Hampton Wick,E05000522,E05000522,51.41332630821677,-0.3118964123193939,,,517383.0001221001,169663.00012210011,11/20/2022
Sheen Lane Centre,Sheen Lane,Richmond Upon Thames,NA,Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/sheen_lane_centre_venue_hire,100023310512,E09000027,East Sheen,E05000517,E05000517,51.46536187160767,-0.26564362397096974,,,520462.0001221001,175524.00012210011,11/20/2022
Murray Park Hall,111 Kneller Road,Richmond Upon Thames,NA,Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/murray_park_hall_venue_hire,100023401887,E09000027,Whitton,E05000533,E05000533,51.45464734042451,-0.35142698835546127,,,514531.0001221001,174195.00012210011,11/20/2022
Crane Community Centre,49-51 Medway, Twickenham,NA,Richmond upon Thames,https://www.facebook.com/pages/Crane-Community-Centre/249951148350529,100023574496,E09000027,West Twickenham,E05000532,E05000532,51.4447564800519,-0.3490056184544476,,,514724.0001221001,173099.00012210011,11/20/2022
Bells Garden Community Centre,19 Buller Close,Southwark,NA,Southwark,0207 639 6718,10013530698,E09000028,Peckham,E05000546,E05011110,51.47721186478037,-0.06649818863212638,Amanda Carey,,534258.0001221001,177188.00012210011,11/20/2022
Beormund Community Centre,177 Abbey Street,Southwark,NA,Southwark,www.beormund.co.uk,200003356929,E09000028,Riverside,E05000548,E05011104,51.49797490271748,-0.07066267599644172,,,533908.0001221001,179489.00012210011,11/20/2022
Browning Community Hall,57-59 Browning Street,Southwark,NA,Southwark,http://www.browning-ema.org.uk/,200003418937,E09000028,East Walworth,E05000540,E05011107,51.490233995767404,-0.09170636986544355,,,532470.0001221001,178590.00012210011,11/20/2022
Rockingham Community Centre,Falmouth Road,Southwark,NA,Southwark,https://communitysouthwark.org/organisations-venues/venues/rockingham-community-centre,200003495242,E09000028,Chaucer,E05000537,E05011098,51.49493927335145,-0.09401685272786668,,,532296.0001221001,179109.00012210011,11/20/2022
Bermondsey Village Hall,Kirby Grove,Southwark,NA,Southwark,http://bermondseyhall.org.uk/,10000811728,E09000028,Grange,E05000542,E05011104,51.5006290352312,-0.08277599374739528,,,533059.6000976935,179762.0200805962,11/20/2022
Thurlow Lodge Community Hall,1 Thurlow Street,Southwark,NA,Southwark,http://www.creationtrust.org/hallsforhire,10009805020,E09000028,Faraday,E05000541,E05011102,51.485518388502584,-0.08104047176377968,,,533224.0900878981,178085.03009029478,11/20/2022
Albrighton Community Centre,37 Albrighton Road,Southwark,NA,Southwark,http://www.albrightoncommunitycentre.org/,200003443914,E09000028,South Camberwell,E05000551,E05011097,51.464096090819936,-0.07999694210462778,,,533359.0001221001,175705.00012210011,11/20/2022
Grahame Park Community Centre,12 The Concourse,Barnet,NA,Barnet,,200114937,E09000003,Colindale,E05000046,E05000046,51.601359570743355,-0.24283926174660547,,,521682.57012939453,190683.69012449682,11/20/2022
Elmcroft Community Centre,London Road,Sutton,NA,Sutton,http://www.elmcroftcc.org.uk/,5870012360,E09000029,Nonsuch,E05000561,E05000561,51.37253952005722,-0.22363182481048383,,,523630.0001221001,165273.00012210011,11/20/2022
Shanklin Community & Children's Centre,Rookley Close,Sutton,NA,Sutton,,5870029716,E09000029,Belmont,E05000557,E05000557,51.347082874498454,-0.19451485351383987,,,525726.0001221001,162492.00012210011,11/20/2022
Thomas Wall Centre,52 Benhill Avenue,Sutton,NA,Sutton,http://thethomaswallcentre.co.uk/index4.html/index-4.html,5870047224,E09000029,Sutton Central,E05000564,E05000564,51.36618432667909,-0.18919470798135365,,,526044.0001221001,164625.00012210011,11/20/2022
Hillcrest Halls,Fryston Avenue,Sutton,NA,Sutton,http://www.spanglefish.com/clockhousecommunityassociation/,5870074245,E09000029,Carshalton South and Clockhouse,E05000559,E05000559,51.32541056334565,-0.15258901073293854,,,528706.0001221001,160155.00012210011,11/20/2022
Forest Community Centre,56 Guildford Road, Waltham Forest,NA,Waltham Forest,,100022980920,E09000031,Hale End and Highams Park,E05000597,E05000597,51.599973858345386,-0.00044526853476756906,,,538471.0001221001,190961.00012210011,11/20/2022
Frederic Street Community Centre,5 Frederic Street, Waltham Forest,NA,Waltham Forest,https://www.crazy4kids.co.uk/,200001418871,E09000031,Markhouse,E05000606,E05000606,51.5797565354447,-0.03238296817667003,,,536320.0001221001,188653.00012210011,11/20/2022
"Mornington Hall, The Green",The Green, Waltham Forest,NA,Waltham Forest,https://www.hallshire.com/halls/view/3691/mornington-hall,200001430409,E09000031,Chingford Green,E05000593,E05000593,51.63117260626217,0.002718686931227987,Jacky,,538595.0001221001,194436.00012210011,11/20/2022
Nexus Community Centre,3 Snowberry Close, Waltham Forest,NA,Waltham Forest,,200001439267,E09000031,Cathall,E05000591,E05000591,51.55263389596523,0.004676539668752587,,,538970.0001221001,185707.00012210011,11/20/2022
Priory Court Community Centre,Priory Court, Waltham Forest,NA,Waltham Forest,http://priorycourtcc.org.uk/?doing_wp_cron=1548425449.1028890609741210937500,10009144740,E09000031,William Morris,E05000608,E05000608,51.59322957566019,-0.025461795157158906,,,536759.0001221001,190164.00012210011,11/20/2022
William Morris Community Users Assn Community Centre,6- 8 Greenleaf Road, Waltham Forest,NA,Waltham Forest,https://www.wmccua.org/,100023697148,E09000031,William Morris,E05000608,E05000608,51.587050088407295,-0.02060449324205358,,,537114.0001221001,189486.00012210011,11/20/2022
R.O.S.E Clubroom,Ascalon Street, Wandsworth,NA,Wandsworth,,10070243523,E09000032,Queenstown,E05000620,E05000620,51.4772044312886,-0.13940416749365286,,,529196.0001221001,177056.00012210011,11/20/2022
Great Ormond St TRA Hall,17 Great Ormond Street,NA,NA,Camden,,5064181,E09000007,Holborn and Covent Garden,E05000138,E05000138,51.521838425485605,-0.11679651053233804,,,530638.0001221001,182059.00012210011,11/20/2022
Penfold Centre,Neville Gill Close, Arndale Estate, Wandsworth,Wandsworth,,100023329313,E09000032,Southfields,E05000624,E05000624,51.45481230905231,-0.1935778065195073,,,525496.0001221001,174472.00012210011,11/20/2022
Tooting Grove Community Clubhouse,Effort Street,Wandsworth,NA,Wandsworth,,121031095,E09000032,Tooting,E05000626,E05000626,51.425884020354964,-0.17065081944135108,Robert Harris,,527169.0001221001,171295.00012210011,11/20/2022
Brookside Community Centre,12 Priory Lane,Wandsworth,NA,Wandsworth,,121031939,E09000032,Roehampton and Putney Heath,E05000621,E05000621,51.462276587259446,-0.24867070188910959,,,521649.0001221001,175209.00012210011,11/20/2022
Open Door Community Centre,Beaumont Road,Wandsworth,NA,Wandsworth,https://enablelc.org/public-halls/about/,121051546,E09000032,West Hill,E05000628,E05000628,51.44828137970489,-0.2146050725113648,Michael Chambers,,524053.0001221001,173710.00012210011,11/20/2022
Focus Hall,Minstead Gardens,Wandsworth,NA,Wandsworth,,121051843,E09000032,Roehampton and Putney Heath,E05000621,E05000621,51.450279828567744,-0.2481079100069627,Karen Carley,,521720.0001221001,173876.00012210011,11/20/2022
Aboyne Community Clubroom,Deeside Road,Wandsworth,NA,Wandsworth,,121053450,E09000032,Earlsfield,E05000612,E05000612,51.43418511401014,-0.17931221849959914,Carol Fielder,,526544.0001221001,172203.00012210011,11/20/2022
Civic Suite,Wandsworth High Street,Wandsworth,NA,Wandsworth,https://enablelc.org/public-halls/about/,10008156678,E09000032,Fairfield,E05000614,E05000614,51.45647621680883,-0.19008589614733407,Tina Bridge,,525734.0001221001,174663.00012210011,11/20/2022
Horne Way Community Clubroom,Horne Way,Wandsworth,NA,Wandsworth,,10093418002,E09000032,Thamesfield,E05000625,E05000625,51.47013446243521,-0.22518565673366864,,,523259.0001221001,176122.00012210011,11/20/2022
Park Court Clubroom (The Venue),191 Battersea Park Road,Wandsworth,NA,Wandsworth,http://www.wandsworth.gov.uk/directory_record/148176/park_court_clubroom_the_venue/category/1125/clubrooms,10090497135,E09000032,Queenstown,E05000620,E05000620,51.47475574588118,-0.1477703941982781,,,528622.0001221001,176769.00012210011,11/20/2022
Ackroydon Community Clubroom,26 Montfort Place,Wandsworth,NA,Wandsworth,http://www.ackroydonhall.com,10024086732,E09000032,West Hill,E05000628,E05000628,51.446326295683086,-0.21673948613514452,,,523910.0001221001,173489.00012210011,11/20/2022
Kambala Community Clubroom,126 Fawcett Close,Wandsworth,NA,Wandsworth,kambala.org.uk,100023299065,E09000032,Latchmere,E05000617,E05000617,51.46849967973034,-0.17205688981332248,,,526953.0001221001,176031.00012210011,11/20/2022
Wilditch Centre,48 Culvert Road,Wandsworth,NA,Wandsworth,https://enablelc.org/public-halls/about/,100023302779,E09000032,Latchmere,E05000617,E05000617,51.47127370988817,-0.1579486527492511,Michael Chambers,,527925.0001221001,176364.00012210011,11/20/2022
Chatham Hall,152 Northcote Road,Wandsworth,NA,Wandsworth,https://enablelc.org/public-halls/about/,100023304064,E09000032,Northcote,E05000619,E05000619,51.454550033207894,-0.1639627018394563,Michael Chambers,,527554.0001221001,174494.00012210011,11/20/2022
