name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Peckhamplex,Southwark,,200003394590,E09000028,Rye Lane,E05011113,,95a Rye Lane,Peckham,534270.8001098931,176411.19012449682,-0.06660922174718029,51.470227306820796,11/27/2022
Olympic Cinema,Richmond upon Thames,,010070710572,E09000027,Barnes,E05000516,,117-123 Church Road,Barnes,522274.4401244968,176606.8900756985,-0.23918734577056752,51.47470645414513,11/27/2022
Curzon Goldsmiths,Lewisham,,100023238053,E09000023,Brockley,E05000439,Goldsmiths University of London,Richard Hoggart Building,"Lewisham Way, New Cross",536540.0001221001,176850.00012210011,-0.033785506133114394,51.473627896620656,11/27/2022
Deptford Cinema,Lewisham,,100021951303,E09000023,Brockley,E05000439,,39 Deptford Broadway,,537283.0001221001,176898.00012210011,-0.02307427293373011,51.47387945328054,11/27/2022
Vue Cinema Fulham Broadway,Hammersmith and Fulham,,000034131058,E09000013,Parsons Green and Walham,E05000260,Fulham Broadway Retail Centre,Fulham Rd,,525473.0001221001,177263.00012210011,-0.19291771921647258,51.47990314719368,11/27/2022
Greenwich Picturehouse,Greenwich,,200001082727,E09000011,Greenwich West,E05000222,,180 Greenwhich Rd,,538309.0001221001,177487.00012210011,-0.008078420370164877,51.47892292931554,11/27/2022
Watermans Art Centre,Hounslow,,100023407377,E09000018,Brentford,E05000347,,40 High St,,518269.0001221001,177686.00012210011,-0.29647837453144144,51.48525779232691,11/27/2022
Riverside Studios,Hammersmith and Fulham,,000034158197,E09000013,Fulham Reach,E05000255,,65 Aspenlea Rd,Hammersmith,523837.12011719495,177832.42010499537,-0.21626584742510419,51.48538177356929,11/27/2022
Cineworld Fulham Road,Kensington and Chelsea,www.cineworld.co.uk,000217101389,E09000020,Redcliffe,E05009402,,142 Fulham Road,,526502.0001221001,178038.00012210011,-0.17782823835939401,51.48663959896305,11/27/2022
Curzon Chelsea,Kensington and Chelsea,,000217047105,E09000020,Stanley,E05009405,,206 King's Road,,527327.0001221001,178167.00012210011,-0.1659046913364219,51.48761385529417,11/27/2022
Odeon Greenwich,Greenwich,,010010223864,E09000011,Peninsula,E05000225,,Bugsby Way,,539833.4801024944,178768.05010989308,0.014369974777136297,51.490060828952956,11/27/2022
Odeon Tottenham Court Road,Camden,,000005045114,E09000007,Bloomsbury,E05000129,,30 Tottenham Court Road,,529675.0001221001,181575.00012210011,-0.1308487376825553,51.517710346159376,11/27/2022
Cine Lumiere,Kensington and Chelsea,https://www.institut-francais.org.uk/cine-lumiere/,000217072593,E09000020,Brompton & Hans Town,E05009389,Institut Francais,17 Queensberry Place,,526635.0001221001,178865.00012210011,-0.17561676355689346,51.49404286895965,11/27/2022
Curzon Victoria,City of Westminster,,010033621426,E09000033,St. James's,E05000644,,58 Victoria Street,,529429.0001221001,179287.00012210011,-0.135232516535911,51.497202856901865,11/27/2022
Odeon Surrey Quays,Southwark,,010009803337,E09000028,Surrey Docks,E05011117,,Surrey Quays Shopping Centre,Redriff Rd,535924.0001221001,179307.00012210011,-0.04170451985187245,51.495857984720345,11/27/2022
Kino Bermondsey,Southwark,,010013529054,E09000028,London Bridge & West Bermondsey,E05011104,,10 Bermondsey Square,,533315.370117195,179385.12011719495,-0.0792353334794473,51.49718138657765,11/27/2022
