name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,latitude,longitude,easting,northing,runtime
Alexandra-Palace,,,,Haringey,,0,E09000014,Alexandra,E05000266,51.595089851414095,-0.129270248821777,529564.3991088942,190181.7310790941,11/27/2022
Barking,,,,Barking and Dagenham,,0,E09000002,Longbridge,E05000035,51.54443950654583,0.08724531334592352,544719.3508910984,184956.0123290941,11/27/2022
Bay-Sixty-6,,,,Kensington and Chelsea,https://www.baysixty6.com/,0,E09000020,Golborne,E05009396,51.519662304312796,-0.20372182585151802,524614.3787231967,181665.41711429507,11/27/2022
Biggin-Hill,,,,Bromley,,0,E09000006,Biggin Hill,E05000107,51.31296851755185,0.039015280274133576,542092.0220946968,159125.18670649827,11/27/2022
Bromley,,,,Bromley,,0,E09000006,Bromley Town,E05000109,51.40186519044199,0.01425812350286098,540095.4237060994,168961.59429929405,11/27/2022
Bush-Hill-Park,,,,Enfield,,0,E09000010,Southbury,E05000207,51.6484150168608,-0.06611083949515081,533781.4210814983,196224.88250729442,11/27/2022
Cann-Hall-Park,,,,Waltham Forest,,0,E09000031,Cann Hall,E05000590,51.55728812111322,0.017387898811373353,539836.8295287937,186248.73010249436,11/27/2022
Cantelowes,,,,Camden,,0,E09000007,Cantelowes,E05000131,51.54613421958306,-0.1315625235708607,529544.760681197,184734.21368409693,11/27/2022
Clapham-Common,,,,Lambeth,,0,E09000022,Clapham Common,E05000418,51.46035445963992,-0.1420772339430386,529057.9445189983,175177.73730469495,11/27/2022
Clissold-Park,,,,Hackney,,0,E09000012,Clissold,E05009369,51.56161523609507,-0.08306636237668577,532861.7537231967,186542.5639037937,11/27/2022
Crouch-Hill-Park,,,,Islington,,0,E09000019,Hillrise,E05000374,51.57361524250356,-0.121552253513686,530160.2539062947,187807.64111329615,11/27/2022
Dagenham,,,,Barking and Dagenham,,0,E09000002,Thames,E05000039,51.53226850722517,0.12370595377975319,547286.3876952976,183675.5258788988,11/27/2022
Edmonton,,,,Enfield,,0,E09000010,Bush Hill Park,E05000194,51.62850189772947,-0.07785400413834077,533027.3958739936,193989.2592773959,11/27/2022
Enfield,,,,Enfield,,0,E09000010,Enfield Highway,E05000198,51.66681669115778,-0.037756838180631504,535687.7202758938,198323.31109619886,11/27/2022
Fassnidge-Park,,,,Hillingdon,www.hillingdon.gov.uk/skateparks,0,E09000017,Uxbridge South,E05000341,51.54791197833183,-0.48301351605600973,505174.8715209961,184368.0073241964,11/27/2022
Finsbury-Park,,,,Haringey,,0,E09000014,Harringay,E05000271,51.566996180402334,-0.10315842937636535,531453.7766723931,187104.56426999718,11/27/2022
Friary-Park,,,,Barnet,,0,E09000003,Coppetts,E05000047,51.61819303709226,-0.16119293766658244,527289.0084838942,192694.53430179507,11/27/2022
Frontside-Gardens,,,,Tower Hamlets,,0,E09000030,Bow East,E05009319,51.542194011848935,-0.022254239712034458,537134.6405028999,184495.36352539808,11/27/2022
Fulham,,,,Hammersmith and Fulham,,0,E09000013,Palace Riverside,E05000259,51.471458938403394,-0.21712731673321986,523815.0170898959,176282.8657226935,11/27/2022
Gurnell,,,,Ealing,,0,E09000009,Cleveland,E05000171,51.52887534531602,-0.32841565710792653,515941.0800780952,182484.86529539526,11/27/2022
Harrow,,,,Harrow,,0,E09000015,Marlborough,E05000296,51.59263166185939,-0.3241055742681726,516077.54187009484,189581.02929689735,11/27/2022
House-of-Vans,,,,Lambeth,,0,E09000022,Bishop's,E05000416,51.500061583097974,-0.11256225348119324,530994.1638793945,179645.19390869886,11/27/2022
Kennington-Bowl,,,,Lambeth,,0,E09000022,Oval,E05000426,51.48480372865832,-0.10703824951241933,531421.3928832933,177958.57489009947,11/27/2022
Ruislip,,,,Hillingdon,www.hillingdon.gov.uk/skateparks,0,E09000017,Eastcote and East Ruislip,E05000329,51.58110280925926,-0.41828378980491454,509582.59728999436,188153.7279052958,11/27/2022
Kingston,,,,Richmond upon Thames,,0,E09000027,Hampton Wick,E05000522,51.41081142170524,-0.31197855787251166,517383.72991939634,169383.23492429405,11/27/2022
West-Green,,,,Haringey,,0,E09000014,West Green,E05000282,51.594749093185314,-0.084385146180658,532673.8176879957,190224.3579101935,11/27/2022
Meanwhile-Gardens,,,,Kensington and Chelsea,,0,E09000020,Golborne,E05009396,51.52221256258998,-0.20135145187472137,524771.8370971978,181953.02429199964,11/27/2022
Mile-End,,,,Tower Hamlets,,0,E09000030,Mile End,E05009327,51.51709022999817,-0.029957152632357275,536675.7479247972,181689.67449949682,11/27/2022
Mudchute,,,,Tower Hamlets,,0,E09000030,Island Gardens,E05009324,51.48957590572956,-0.02114228532548817,537369.9702758938,178646.889709495,11/27/2022
Muswell-Hill,,,,Haringey,,0,E09000014,Fortis Green,E05000270,51.601881066771305,-0.15610302938134973,527687.0900878981,190889.64172359556,11/27/2022
Peckham-Rye,,,,Southwark,,0,E09000028,Peckham Rye,E05011111,51.457462747565934,-0.05584755270841703,535055.8013305962,175011.70471189916,11/27/2022
Hayes,,,,Hillingdon,www.hillingdon.gov.uk/skateparks,0,E09000017,Pinkwell,E05000337,51.499747709779996,-0.4389204238208899,508346.0046996996,179076.70727539808,11/27/2022
Pole-Hill,,,,Hillingdon,www.hillingdon.gov.uk/skateparks,0,E09000017,Hillingdon East,E05000332,51.538788214597524,-0.4378277294589393,508329.1608886942,183419.42510989308,11/27/2022
Pollards-Hill,,,,Merton,,0,E09000024,Pollards Hill,E05000467,51.40178750027448,-0.13049830838653917,530028.3833007962,168686.19049069285,11/27/2022
