name,address1,address2,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address3,longitude,latitude,easting,northing,runtime
Arts Depot,5 Nether Street,,Barnet,http://www.artsdepot.co.uk,200196017,E09000003,West Finchley,E05000061,,-0.17669950896364456,51.61281643920563,526119.8024075672,192122.6153572988,11/27/2022
RADA Studios,16 Chenies St,,Camden,,5087921,E09000007,Bloomsbury,E05000129,,-0.13256009012442388,51.52066919126147,529436.7362890391,181954.8455699953,11/27/2022
Blackheath Halls,23 Lee Road,,Greenwich,http://www.blackheathhalls.com,100023269695,E09000011,Blackheath Westcombe,E05000215,,0.009627334448283693,51.464379413335784,539470.3121443274,175957.98717805138,11/27/2022
Langley Park Centre for the Performing Arts - Bromley Hall,S Eden Park Rd,,Bromley,http://www.lpsb.org.uk,100022894311,E09000006,Kelsey and Eden Park,E05000120,,-0.01894750975679238,51.38893000520387,537712.9444351302,167515.74804962554,11/27/2022
Intimate Theatre,516 Green Lanes,,Enfield,http://www.smptheatre.co.uk/faqs/the-intimate-theatre/,207035876,E09000010,Winchmore Hill,E05000213,,-0.10284236026466753,51.62419102036944,531199.1709811597,193517.35336031078,11/27/2022
"Theatre Royal, Stratford East",Gerry Raffles Square,,Newham,http://www.stratfordeast.com/whats-on/,10009003230,E09000025,Stratford and New Town,E05000492,,0.0010008812952531942,51.54255806288698,538633.7047774503,184633.3104615531,11/27/2022
Fairfield Hall (closed for refurbishment),71 Park Lane,,Croydon,https://fairfield.co.uk,,,,,,-0.09577807383074295,51.3725243869017,532416.1482631542,165550.2287229956,11/27/2022
Newlands Community Hall,226 Stroud Crescent,,Wandsworth,http://www.wandsworth.gov.uk/directory_record/148179/newlands_hall_putney_vale_clubroom/category/1125/clubrooms,100023313548,E09000032,Roehampton and Putney Heath,E05000621,,-0.24437634768680497,51.438080676056806,521901.4875408432,172580.46083167935,11/27/2022
Aldwych Theatre,49 Aldwych,,City of Westminster,https://www.nederlander.co.uk/aldwych-theatre,100023430368,E09000033,St. James's,E05000644,,-0.118862085089603,51.51307628957086,530408.5077589361,181135.01059039537,11/27/2022
Welsh Centre,157-163 Grays Inn Road,,Camden,http://www.londonwelsh.org,5083639,E09000007,King's Cross,E05000141,,-0.11690282324089822,51.52493327731929,530510.5020471851,182456.77227326354,11/27/2022
